uuid,name,type,permalink,cb_url,rank,created_at,updated_at,org_uuid,org_name,org_cb_url,country_code,state_code,region,city,stock_exchange_symbol,stock_symbol,went_public_on,share_price_usd,share_price,share_price_currency_code,valuation_price_usd,valuation_price,valuation_price_currency_code,money_raised_usd,money_raised,money_raised_currency_code
c0203ba8-831c-503f-8c86-3997afcd1d57,,ipo,check-point-ipo--c0203ba8,https://www.crunchbase.com/ipo/check-point-ipo--c0203ba8,19724,1/27/09 20:44,2/12/18 23:53,bd492a8f-7947-0bad-8349-a295befa8515,Check Point Software Technologies,https://www.crunchbase.com/organization/check-point,ISR,,Tel Aviv,Tel Aviv,nasdaq,CHKP,7/5/96,,,,,,,,,
1d702594-6488-a463-075f-b689401e8b72,,ipo,clicksoftware-technologies-ipo--1d702594,https://www.crunchbase.com/ipo/clicksoftware-technologies-ipo--1d702594,32900,9/24/09 23:14,7/11/18 7:40,b4124850-5121-85a5-5273-a123def65831,ClickSoftware Technologies,https://www.crunchbase.com/organization/clicksoftware-technologies,ISR,,HaMerkaz,Petah Tiqva,nasdaq,CKSW,6/30/00,7,7,USD,174300000,174300000,USD,28000000,28000000,USD
e30d6c55-f07f-5a0b-25ca-0a275345ae13,,ipo,internet-gold-golden-lines-ipo--e30d6c55,https://www.crunchbase.com/ipo/internet-gold-golden-lines-ipo--e30d6c55,31264,12/10/09 3:15,5/22/20 9:41,1f300c0f-feb0-f833-494f-6c75cc4a2992,Internet Gold - Golden Lines,https://www.crunchbase.com/organization/internet-gold-golden-lines,ISR,,HaMerkaz,Petah Tiqva,tlv,IGLD,2/3/05,,,,,,,,,
2b8a8061-6ac5-0333-cc07-15c28ecac885,,ipo,partner-communications-company-ipo--2b8a8061,https://www.crunchbase.com/ipo/partner-communications-company-ipo--2b8a8061,15200,8/27/10 6:22,5/28/20 16:42,6a743a2b-3e2e-2d36-2ba6-128019d5e56a,Partner Communications Company,https://www.crunchbase.com/organization/partner-communications-company,ISR,,HaMerkaz,Rosh Ha'ayin,nasdaq,PTNR,11/5/99,,,,,,,,,
ef7681b5-6b11-5c78-7ddf-1eef97f78f39,,ipo,orckit-communications-ipo--ef7681b5,https://www.crunchbase.com/ipo/orckit-communications-ipo--ef7681b5,41865,11/26/10 3:09,8/2/18 12:40,61030db0-e7a6-99f3-1af1-42665ff79066,Orckit Communications,https://www.crunchbase.com/organization/orckit-communications,ISR,,Tel Aviv,Tel Aviv,tlv,ORCT,6/6/02,,,,,,,,,
318b48a1-1f27-3725-4f79-1a44c5c90677,,ipo,alvarion-ipo--318b48a1,https://www.crunchbase.com/ipo/alvarion-ipo--318b48a1,25551,11/3/11 4:17,8/7/18 7:25,258f0438-4265-2b1c-3fc5-d0cb615de78e,Alvarion,https://www.crunchbase.com/organization/alvarion,ISR,,Tel Aviv,Tel Aviv,tlv,ALVR,2/14/02,,,,,,,,,
93f6ad81-f919-6709-1b13-6c359ec78b76,,ipo,alcobra-pharmaceuticals-ipo--93f6ad81,https://www.crunchbase.com/ipo/alcobra-pharmaceuticals-ipo--93f6ad81,43111,5/23/13 7:13,7/12/18 14:19,9245a864-009c-326a-4f32-08871cd24f59,Alcobra Pharmaceuticals,https://www.crunchbase.com/organization/alcobra-pharmaceuticals,ISR,,Tel Aviv,Tel Aviv,nasdaq,ADHD,5/21/13,,,,,,,40000000,40000000,USD
ea324978-e337-b04b-f137-4f0a49f771eb,,ipo,kamada-ipo--ea324978,https://www.crunchbase.com/ipo/kamada-ipo--ea324978,28309,6/4/13 11:50,2/12/18 22:24,5921d7ae-9a6d-6984-c6ed-b226f0887dfd,Kamada,https://www.crunchbase.com/organization/kamada,ISR,,HaMerkaz,Ness Ziona,nasdaq,KMDA,5/31/13,,,,,,,51600000,51600000,USD
c4181a2b-9ff4-6017-f44b-4e513dcc6f81,,ipo,therapix-biosciences-ipo--c4181a2b,https://www.crunchbase.com/ipo/therapix-biosciences-ipo--c4181a2b,19015,7/2/13 3:18,2/12/18 23:32,11a7af81-84cc-7e8b-2ad1-092a4683dee9,SciSparc,https://www.crunchbase.com/organization/therapix-biosciences,ISR,,Tel Aviv,Giv'atayim,nasdaq,TRPX,3/22/17,,,,,,,,,
fa35908b-98f6-1632-3e09-6570465ae763,,ipo,teva-pharmaceutical-industries-ipo--fa35908b,https://www.crunchbase.com/ipo/teva-pharmaceutical-industries-ipo--fa35908b,26918,7/23/13 13:13,2/12/18 23:48,cc70b2f2-cc18-ae08-3848-206599ad6797,Teva Pharmaceutical Industries,https://www.crunchbase.com/organization/teva-pharmaceutical-industries,ISR,,HaMerkaz,Petah Tiqva,nyse,TEVA,2/26/82,,,,,,,,,
527fe81d-8308-b72d-e853-21bdffff9175,,ipo,glassesoff-ipo--527fe81d,https://www.crunchbase.com/ipo/glassesoff-ipo--527fe81d,46950,8/6/13 12:56,7/23/18 7:34,0bba26a4-d14d-dfcd-33ba-c65a0bcfea94,GlassesOff,https://www.crunchbase.com/organization/glassesoff,ISR,,HaMerkaz,Hod Hasharon,otcbb,GLSO,5/23/12,,,,,,,,,
7ade8515-b8c6-e448-c233-bf08d7588b16,,ipo,enzymotec-ipo--7ade8515,https://www.crunchbase.com/ipo/enzymotec-ipo--7ade8515,42188,9/30/13 4:38,8/3/18 8:38,4b69ba01-9409-efe3-79e8-5049278d954a,Enzymotec,https://www.crunchbase.com/organization/enzymotec,ISR,,HaZafon,Migdal Hameq,nasdaq,ENZY,9/27/13,14,14,USD,,,,62000000,62000000,USD
90170c74-06f1-4187-55fa-37c6b230eed6,,ipo,inspiremd-inc-ipo--90170c74,https://www.crunchbase.com/ipo/inspiremd-inc-ipo--90170c74,13718,10/25/13 4:47,2/12/18 23:29,babef14c-613d-5051-510c-f9c259931521,InspireMD,https://www.crunchbase.com/organization/inspiremd-inc,ISR,,Tel Aviv,Tel Aviv,nysemkt,NSPR,4/21/11,,,,,,,,,
10251a2e-2d02-a841-9a44-b4b39de4da1a,,ipo,mazor-robotics-ipo--10251a2e,https://www.crunchbase.com/ipo/mazor-robotics-ipo--10251a2e,45928,10/31/13 10:09,2/12/18 22:52,73323a80-341b-79cd-f893-168e66b95992,Mazor Robotics,https://www.crunchbase.com/organization/mazor-robotics,ISR,,Hefa,Caesarea,nasdaq,MZOR,6/7/13,,,,,,,,,
f1363e4e-522f-dc55-f445-aefe0ab9b55b,,ipo,top-image-systems-ipo--f1363e4e,https://www.crunchbase.com/ipo/top-image-systems-ipo--f1363e4e,25893,11/5/13 6:22,2/12/18 23:56,7f2173c6-8978-3fd2-dd70-8aad5cc87a40,Top Image Systems,https://www.crunchbase.com/organization/top-image-systems,ISR,,Tel Aviv,Ramat Gan,nasdaq,TISA,11/29/96,,,,,,,,,
8d6ce3ef-632e-ad4a-66dd-410bb2e89a1e,,ipo,evogene-ipo--8d6ce3ef,https://www.crunchbase.com/ipo/evogene-ipo--8d6ce3ef,46187,11/12/13 9:35,8/8/18 7:17,b8e0ed01-b94b-2599-bd5c-4b548a6bc021,Evogene,https://www.crunchbase.com/organization/evogene,ISR,,HaMerkaz,Rehovot,nasdaq,EVGN,5/14/08,,,,,,,,,
1af16e97-83e2-4c17-2151-61696fa1e8e2,,ipo,redhill-biopharma-ipo--1af16e97,https://www.crunchbase.com/ipo/redhill-biopharma-ipo--1af16e97,28911,1/23/14 13:55,2/12/18 23:52,c79f5491-919d-4a8e-5696-e51f6c60ea19,RedHill Biopharma,https://www.crunchbase.com/organization/redhill-biopharma,ISR,,Tel Aviv,Ramat Gan,nasdaq,RDHL,1/18/13,,,,,,,12500000,12500000,USD
00fd2251-5f44-0dae-eb8b-657b51548d8b,,ipo,brainsway-ipo--00fd2251,https://www.crunchbase.com/ipo/brainsway-ipo--00fd2251,39281,3/12/14 5:12,2/12/18 23:49,191a4723-d319-e8a4-0155-26aa90378ecf,Brainsway,https://www.crunchbase.com/organization/brainsway,ISR,,Yerushalayim,Jerusalem,tlv,BRIN,3/8/09,,,,,,,,,
8c6a82a2-28be-2bf3-33e8-c5f70df60acd,,ipo,canfite-biopharma-ipo--8c6a82a2,https://www.crunchbase.com/ipo/canfite-biopharma-ipo--8c6a82a2,15761,3/12/14 6:22,2/12/18 23:30,ec3eaa0d-9255-6d7a-0c4a-00b4f09930f0,CanFite BioPharma,https://www.crunchbase.com/organization/canfite-biopharma,ISR,,HaMerkaz,Petah Tiqva,nysemkt,CANF,11/19/13,,,,,,,,,
fe8b67b6-efde-1629-fdff-8ef1f635c753,,ipo,infinity-augmented-reality-ipo--fe8b67b6,https://www.crunchbase.com/ipo/infinity-augmented-reality-ipo--fe8b67b6,15567,3/31/14 13:13,8/13/18 12:29,73ad1cf0-3b2e-e7ea-96bf-8cbbfa630b6b,Infinity Augmented Reality,https://www.crunchbase.com/organization/infinity-augmented-reality,ISR,,Tel Aviv,Ramat Gan,otcbb,ALSO,12/9/09,,,,,,,,,
8b6734c7-3e53-e8d4-1d5d-1cbc56ed01b3,,ipo,ceragon-networks-ipo--8b6734c7,https://www.crunchbase.com/ipo/ceragon-networks-ipo--8b6734c7,23132,4/2/14 5:28,2/12/18 23:20,27b405ad-d74e-90a6-85aa-ae473f840534,Ceragon Networks,https://www.crunchbase.com/organization/ceragon-networks,ISR,,Tel Aviv,Tel Aviv,nasdaq,CRNT,8/4/00,,,,,,,,,
0eac0c66-6972-5926-7787-781ffa8b6575,,ipo,advanced-vision-technology-ipo--0eac0c66,https://www.crunchbase.com/ipo/advanced-vision-technology-ipo--0eac0c66,28376,5/20/14 7:44,7/10/18 12:15,82d8de05-ea89-5c6f-9dad-2d7b66a4ecf2,Advanced Vision Technology,https://www.crunchbase.com/organization/advanced-vision-technology,ISR,,HaMerkaz,Hod Hasharon,etr,VSJ,1/11/02,,,,,,,,,
3235d60b-4309-19df-276b-06e9a362d175,,ipo,allot-communications-ipo--3235d60b,https://www.crunchbase.com/ipo/allot-communications-ipo--3235d60b,19962,5/23/14 4:41,2/12/18 23:36,451b9aa3-0852-0109-2f17-0e673800ed03,Allot,https://www.crunchbase.com/organization/allot-communications,ISR,,HaMerkaz,Hod Hasharon,nasdaq,ALLT,11/16/06,12,12,USD,250679172,250679172,USD,78000000,78000000,USD
86f53d6b-c47d-7ec9-6704-189554c2cc4e,,ipo,wix-ipo--86f53d6b,https://www.crunchbase.com/ipo/wix-ipo--86f53d6b,35957,5/23/14 12:19,2/12/18 23:15,b04f6634-a9f2-868d-d26a-fde29ab6a7a9,Wix,https://www.crunchbase.com/organization/wix,ISR,,Tel Aviv,Tel Aviv,nasdaq,WIX,11/6/13,17,17,USD,603917556,603917556,USD,127050000,127050000,USD
413576fd-f110-e36a-2fb2-1bae5e09768c,,ipo,saifun-semiconductors-ltd-ipo--413576fd,https://www.crunchbase.com/ipo/saifun-semiconductors-ltd-ipo--413576fd,35272,5/26/14 10:19,8/3/18 10:50,576bee52-f6dd-6889-fd1f-626e76ddbe9b,Saifun Semiconductors Ltd.,https://www.crunchbase.com/organization/saifun-semiconductors-ltd,ISR,,HaMerkaz,Natanya,nasdaq,SFUN,11/10/05,23.5,23.5,USD,21216366280,21216366280,USD,117500000,117500000,USD
544e128e-c4c0-e17a-6f0c-f8d66e2a7d5f,,ipo,sodastream-ipo--544e128e,https://www.crunchbase.com/ipo/sodastream-ipo--544e128e,34677,5/27/14 6:05,2/12/18 23:42,c4895906-01e8-f386-474c-8c013b09ca4c,SodaStream,https://www.crunchbase.com/organization/sodastream,ISR,,HaMerkaz,Lod,nasdaq,SODA,11/3/10,20,20,USD,367679820,367679820,USD,108947360,108947360,USD
133d5774-7991-b5eb-f382-e8043576ba55,,ipo,cellcom-israel-ipo--133d5774,https://www.crunchbase.com/ipo/cellcom-israel-ipo--133d5774,14807,5/27/14 7:43,2/12/18 23:39,180d5b2a-d112-192c-69a3-4dd21ef4b663,Cellcom Israel,https://www.crunchbase.com/organization/cellcom-israel,ISR,,HaMerkaz,Netanya,nyse,CEL,2/6/07,20,20,USD,1950000000,1950000000,USD,400000000,400000000,USD
e3ca0bd4-3694-bf23-6a48-82dde3112605,,ipo,vocaltec-communications-ipo--e3ca0bd4,https://www.crunchbase.com/ipo/vocaltec-communications-ipo--e3ca0bd4,36865,5/29/14 4:55,2/12/18 23:37,281b80be-2add-7758-40ab-28be03c9b56c,magicJack VocalTec,https://www.crunchbase.com/organization/vocaltec-communications,ISR,,Tel Aviv,Herzliya,nasdaq,CALL,2/16/96,,,,,,,,,
deac99b4-cf68-538b-8786-f81fff9fa7d0,,ipo,galmed-pharmaceuticals-ipo--deac99b4,https://www.crunchbase.com/ipo/galmed-pharmaceuticals-ipo--deac99b4,24711,5/30/14 5:33,2/12/18 23:53,bdd195c7-50a4-df74-7d51-6f73d3a3e3e5,Galmed Pharmaceuticals,https://www.crunchbase.com/organization/galmed-pharmaceuticals,ISR,,Tel Aviv,Tel Aviv,nasdaq,GLMD,3/13/14,13.5,13.5,USD,,,,38300000,38300000,USD
505b4367-cf5d-6561-3652-296c76b72c02,,ipo,on-track-innovations-ipo--505b4367,https://www.crunchbase.com/ipo/on-track-innovations-ipo--505b4367,26783,5/30/14 6:11,1/27/20 8:43,e1a3e797-c620-8755-cdc8-3bbe4c3ad007,OTI - On Track Innovations,https://www.crunchbase.com/organization/on-track-innovations,ISR,,HaZafon,Rosh Pinna,otcpink,OTIV,11/12/02,6.9,6.9,USD,11452607,11452607,USD,4843197,4843197,USD
25e94909-e86b-e7c7-0bca-0b72ae4dcc85,,ipo,audiocodes-ipo--25e94909,https://www.crunchbase.com/ipo/audiocodes-ipo--25e94909,45733,5/30/14 10:25,2/12/18 23:34,7011cc24-b44d-f8ad-0fcb-3e405e8729aa,AudioCodes,https://www.crunchbase.com/organization/audiocodes,ISR,,HaMerkaz,Lod,nasdaq,AUDC,6/4/99,,,,,,,,,
04907261-c221-d789-4bfa-990d523b87f3,,ipo,lumenis-ipo--04907261,https://www.crunchbase.com/ipo/lumenis-ipo--04907261,24134,6/2/14 8:39,7/9/18 12:59,dce34a38-9a7e-4726-e906-2c9612c905e5,Lumenis,https://www.crunchbase.com/organization/lumenis,ISR,,Yerushalayim,Jerusalem,nasdaq,LMNS,2/28/14,12,12,USD,114000000,114000000,USD,75000000,75000000,USD
00d21faf-0f82-0a35-855b-cc28e05b3e83,,ipo,bos-better-on-line-solutions-ipo--00d21faf,https://www.crunchbase.com/ipo/bos-better-on-line-solutions-ipo--00d21faf,14379,6/2/14 11:22,2/12/18 22:22,ce2231c7-43cd-a920-04d7-c67b1f048f87,BOS Better On-Line Solutions,https://www.crunchbase.com/organization/bos-better-on-line-solutions,ISR,,HaMerkaz,Rishon Le Zion,nasdaq,BOSC,5/24/96,,,,,,,,,
