uuid,name,type,permalink,cb_url,rank,created_at,updated_at,country_code,state_code,region,city,investment_type,announced_on,raised_amount_usd,raised_amount,raised_amount_currency_code,post_money_valuation_usd,post_money_valuation,post_money_valuation_currency_code,investor_count,org_uuid,org_name,lead_investor_uuids
b620735e-8728-3a3e-749d-2d296cc2102b,Seed Round - blogTV,funding_round,blogtv-seed--b620735e,https://www.crunchbase.com/funding_round/blogtv-seed--b620735e,386544,39256.29863,43143.99735,ISR,,Tel Aviv,Ramat Gan,seed,39083,3000000,3000000,USD,,,,1,e691c0a6-1f9c-8b4e-4287-c36f91d892bb,blogTV,
64dc92df-5f7f-f65a-8335-c79472475a7f,Series A - KnockaTV,funding_round,knockatv-series-a--64dc92df,https://www.crunchbase.com/funding_round/knockatv-series-a--64dc92df,256035,39301.38929,43143.99442,ISR,,Tel Aviv,Herzliya,series_a,39234,3500000,3500000,USD,,,,5,9b6d3860-edaa-a093-4732-54c98a82803e,KnockaTV,
7b4d366c-07cd-ad50-cc95-dda5814a39d6,Series B - fring,funding_round,fring-series-b--7b4d366c,https://www.crunchbase.com/funding_round/fring-series-b--7b4d366c,294900,39305.20126,43143.98652,ISR,,Tel Aviv,Tel Aviv,series_b,39295,12000000,12000000,USD,,,,4,b94dd8d9-a918-4d94-8373-e4ca6c7d34b7,fring,4e735dd7-c7c5-f189-370c-67bfb8e413dd
1f47f7d0-49df-9fd0-83b7-223c6c951e1f,Series A - MyHeritage,funding_round,myheritage-series-a--1f47f7d0,https://www.crunchbase.com/funding_round/myheritage-series-a--1f47f7d0,307847,39322.43769,43143.9792,ISR,,Tel Aviv,Or Yehuda,series_a,37987,2000000,2000000,USD,,,,5,1a766013-4ab1-3716-24b6-95542c984430,MyHeritage,
3ba2e3cb-481d-bfa4-8950-6593def0ab99,Series B - MyHeritage,funding_round,myheritage-series-b--3ba2e3cb,https://www.crunchbase.com/funding_round/myheritage-series-b--3ba2e3cb,215132,39322.43791,43143.97779,ISR,,Tel Aviv,Or Yehuda,series_b,39022,3000000,3000000,USD,,,,4,1a766013-4ab1-3716-24b6-95542c984430,MyHeritage,
3231af33-b806-c4f3-13da-cc3c4057242e,Series C - MyHeritage,funding_round,myheritage-series-c--3231af33,https://www.crunchbase.com/funding_round/myheritage-series-c--3231af33,419528,39322.43971,43756.23453,ISR,,Tel Aviv,Or Yehuda,series_c,39264,4000000,4000000,USD,,,,4,1a766013-4ab1-3716-24b6-95542c984430,MyHeritage,
2f6dd121-2d79-4ea0-ef60-899077fda74c,Series A - Yedda (AOL Answers),funding_round,yedda-series-a--2f6dd121,https://www.crunchbase.com/funding_round/yedda-series-a--2f6dd121,114502,39395.56666,43143.9772,ISR,,Tel Aviv,Tel Aviv,series_a,38777,600000,600000,USD,,,,,07a1c73f-d680-ed56-38ce-d97a43096314,Yedda (AOL Answers),
7da808f0-9570-e31b-2a25-4c237468f735,Series B - Yedda (AOL Answers),funding_round,yedda-series-b--7da808f0,https://www.crunchbase.com/funding_round/yedda-series-b--7da808f0,342807,39395.56712,43143.99388,ISR,,Tel Aviv,Tel Aviv,series_b,39114,1900000,1900000,USD,,,,1,07a1c73f-d680-ed56-38ce-d97a43096314,Yedda (AOL Answers),
d8544831-cab7-9044-7e20-6ba9abebbc83,Series A - Wix,funding_round,wix-series-a--d8544831,https://www.crunchbase.com/funding_round/wix-series-a--d8544831,399861,39396.42485,43143.98414,ISR,,Tel Aviv,Tel Aviv,series_a,39417,5000000,5000000,USD,,,,2,b04f6634-a9f2-868d-d26a-fde29ab6a7a9,Wix,
c27548c3-550c-9a87-cd54-23b295d34b70,Series A - Sportingo,funding_round,sportingo-series-a--c27548c3,https://www.crunchbase.com/funding_round/sportingo-series-a--c27548c3,341625,39400.63802,43143.99345,ISR,,Tel Aviv,Herzliya,series_a,39356,3200000,3200000,USD,,,,1,08990e12-8c9c-fea5-9132-13e529715fc7,Sportingo,00609688-b615-b0b0-e989-2fbb4909216c
